ID	Waveform	Period	Phase	Nadir	Tau	P
0.339905288947	cosine	24.0	16.0	14.0	0.221439907333	0.129524172549
1.22550915542	cosine	24.0	20.0	18.0	0.144207261289	0.323522506607
-0.841646022168	cosine	24.0	22.0	20.0	0.228821237577	0.117228418874
0.0128605506686	cosine	24.0	14.0	12.0	0.317397200511	0.0297873919913
1.18520128038	cosine	24.0	10.0	12.0	0.280490549289	0.0548272729305
-1.55405215036	cosine	24.0	2.0	20.0	0.405867047596	0.00545984260406
-0.1850120658	cosine	24.0	12.0	22.0	0.417607633151	0.00425048265372
-0.416634533542	cosine	24.0	6.0	16.0	0.48354568049	0.000931757151978
-0.484603969031	cosine	24.0	12.0	18.0	0.316210664767	0.0304043096487
0.135754169636	cosine	24.0	20.0	22.0	0.339541191244	0.0200984918322
0.117265234784	cosine	24.0	4.0	0.0	0.423630937298	0.00372943937268
-0.148055320716	cosine	24.0	2.0	4.0	0.218159702975	0.135299917358
0.174833531761	cosine	24.0	14.0	12.0	0.221439907333	0.129524172549
-2.37523703788	cosine	24.0	6.0	4.0	0.465023805399	0.00145475975505
-0.878137692066	cosine	24.0	16.0	12.0	0.202606100447	0.165428220606
0.210637579355	cosine	24.0	14.0	12.0	0.191914586355	0.188896638458
1.5874522819	cosine	24.0	0.0	22.0	0.30038443788	0.0397404724958
1.15936863173	cosine	24.0	12.0	14.0	0.236202567822	0.105868279813
0.100700789622	cosine	24.0	8.0	6.0	0.236202567822	0.105868279813
0.539825041619	cosine	24.0	8.0	4.0	0.305751024311	0.0363334362277
0.921714176958	cosine	24.0	20.0	18.0	0.343878853842	0.0185626301937
-0.257054669104	cosine	24.0	14.0	16.0	0.177151925866	0.225212127318
0.501928380409	cosine	24.0	0.0	2.0	0.228821237577	0.117228418874
1.62311482608	cosine	24.0	18.0	16.0	0.395645563023	0.0067568667423
-1.07640543251	cosine	24.0	16.0	12.0	0.38679346449	0.00809709914405
0.820359998114	cosine	24.0	8.0	10.0	0.383829172711	0.0085964217651
-0.572946657825	cosine	24.0	22.0	2.0	0.333972502866	0.0222319917402
-0.701005217147	cosine	24.0	22.0	18.0	0.239443573256	0.101164471791
-0.00858553688703	cosine	24.0	18.0	2.0	0.395628284037	0.00675927591134
1.35367831735	cosine	24.0	20.0	22.0	0.236202567822	0.105868279813
